,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29
gene_519,1,2,0,0,1,0,0,0,1,0,0,1,2,0,0,1,0,2,2,0,3,0,1,0,2,2,0,1,0,0
gene_520,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_521,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_522,0,2,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,3,1,1,1,0,1,0,1,0,0,0,0
gene_523,0,0,0,0,1,0,0,1,1,0,2,0,0,0,1,1,0,2,2,1,1,1,0,3,0,0,0,0,0,0
gene_524,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
gene_525,2,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,2,1,0,0,0,0
gene_526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
gene_527,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,2,1,0,1,0,1,0,1,0,0,0,1
gene_528,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
gene_529,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
gene_530,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,2,2,1,2,0,0,1,0
gene_531,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gene_532,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
gene_533,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,0,0
gene_534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
gene_535,1,1,3,1,0,0,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,1,0,3,0,0,0,0,0,1
gene_536,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,2,1
gene_537,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gene_538,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
gene_539,1,4,4,1,0,1,0,2,0,0,2,3,2,0,0,2,4,2,3,1,1,0,1,1,1,3,1,0,0,0
gene_540,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
gene_541,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,1
gene_542,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gene_543,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
gene_544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
gene_545,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gene_547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
gene_548,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
gene_549,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0
gene_550,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0
gene_551,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
gene_552,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gene_553,0,4,1,0,2,3,1,0,2,0,0,1,2,1,1,0,0,0,0,1,0,1,1,1,0,5,1,3,0,0
gene_554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
